Institute,NIRF Rank,,,,,
NMAM Institute of Technology,151-200,,,,,
North Eastern Regional Institute of Science & Technology,151-200,,,,,
R.M.K. Engineering College,151-200,,,,,
Rajalakshmi Institute of Technology,151-200,,,,,
Shri Mata Vaishno Devi University,151-200,,,,,
Sona College of Technology,151-200,,,,,
Sri Krishna College of Technology,151-200,,,,,
Sri Ramakrishna Engineering College,151-200,,,,,
Sri Venkateswara College of Engineering,151-200,,,,,
Tezpur University,151-200,,,,,
The National Institute of Engineering,151-200,,,,,
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,151-200,,,,,
Vardhaman College of Engineering,151-200,,,,,
Veer Surendra Sai University of Technology,151-200,,,,,
Velagapudi Ramakrishna Siddhartha Engineering College,151-200,,,,,
Vignan Institute of Technology and Science,151-200,,,,,
Yeshwantrao Chavan College of Engineering,151-200,,,,,
ABES Engineering College,201-300,,,,,
Aditya Engineering College,201-300,,,,,
Aditya Institute of Technology and Management,201-300,,,,,
"Amity University, Gwalior",201-300,,,,,
Army Institute of Technology,201-300,,,,,
Bharati Vidyapeeth?s College of Engineering,201-300,,,,,
Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,201-300,,,,,
BIT Sindri,201-300,,,,,
BMS Institute of Technology & Management,201-300,,,,,
Centurion University of Technology and Management,201-300,,,,,
Chandigarh Engineering College Jhanjeri,201-300,,,,,
CMR College of Engineering & Technology,201-300,,,,,
CMR Engineering College,201-300,,,,,
CMR Institute of Technology,201-300,,,,,
"College of Engineering & Technology, Bhubaneswar",201-300,,,,,
Dayananda Sagar College of Engineering,201-300,,,,,
Dhirubhai Ambani Institute of Information and Communication Technology,201-300,,,,,
DIT University,201-300,,,,,
Dr. M. G. R. Educational and Research Institute,201-300,,,,,
E.G.S. Pillay Engineering College,201-300,,,,,
Galgotias College of Engineering & Technology,201-300,,,,,
Gandhi Engieering College (GEC),201-300,,,,,
"Gandhi Institute for Technological Advancement (GITA), Bhubaneswar",201-300,,,,,
"GIET University, Gunupur",201-300,,,,,
GMR Institute of Technology,201-300,,,,,
Godavari Institute of Engineering & Technology,201-300,,,,,
Government College of Technology,201-300,,,,,
"Government Engineering College, Thrissur",201-300,,,,,
Haldia Institute of Technology,201-300,,,,,
Hindusthan College of Engineering and Technology,201-300,,,,,
"IES College of Technology, Bhopal",201-300,,,,,
Indian Institute of Petroleum & Energy,201-300,,,,,
Institute of Infrastructure Technology Research and Management (IITRAM),201-300,,,,,
Integral University,201-300,,,,,
International Institute of Information Technology Bhubaneswar,201-300,,,,,
Jamia Hamdard,201-300,,,,,
Jaypee University of Information Technology,201-300,,,,,
JIS College of Engineering,201-300,,,,,
"JSS Academy of Technical Education, Noida",201-300,,,,,
JSS Science and Technology University,201-300,,,,,
K. J. Somaiya College of Engineering,201-300,,,,,
K. Ramakrishnan College of Engineering,201-300,,,,,
K. Ramakrishnan College of Technology,201-300,,,,,
K.S. Rangasamy College of Technology,201-300,,,,,
Kakatiya Institute of Technology & Science,201-300,,,,,
Kalaignar Karunanidhi Institute of Technology,201-300,,,,,
Karpagam College of Engineering,201-300,,,,,
KCG College of Technology,201-300,,,,,
Kurukshetra University,201-300,,,,,
Lakireddy Bali Reddy College of Engineering (LBRCE),201-300,,,,,
Lakshmi Narain College of Technology,201-300,,,,,
M.Kumarasamy College of Engineering,201-300,,,,,
Madanapalle Institute of Technology & Science,201-300,,,,,
