name,district,type
Coimbatore Institute of Technology Civil Aerodrome Post Coimbator…,COIMBATORE,Govt-Aided
Anna University Regional Campus - Coimbatore Maruthamalai Main Ro…,COIMBATORE,University Constituent
"Sri Shanmugha College of Engineering and Technology , Pullipalaya…",SALEM,Self-Financing T3
"N.S.N. College of Engineering and Technology, N.S.N, Kalvi Nagar,…",KARUR,Self-Financing T3
"Rathinam Technical Campus , Rathinam Techzone Campus, Pollachi Ro…",COIMBATORE,Self-Financing T3
"Aishwarya College of Engineering and Technology, Errattaikarad, P…",ERODE,Self-Financing T3
"Asian College of Engineering and Technology, 294/2,Asian College …",COIMBATORE,Self-Financing T3
"Ganesh College of Engineering, Attur Main Road, Mettupatti, Salem…",SALEM,Self-Financing T3
"Sri Ranganathar Institute of Engineering and Technology , S.F No:…",COIMBATORE,Self-Financing T3
Indian Institute of Handloom Technology Foulke's Compound Thillai…,SALEM,Central Govt
"Dhirajlal Gandhi College of Technology , Sikkanampatty, Opposite …",SALEM,Self-Financing T3
"Shree Sathyam College of Engineering and Technology, Manjakkal Pa…",SALEM,Self-Financing T3
"A V S College of Technology, Attur Main Road, Near AVS College of…",SALEM,Self-Financing T3
"Dhaanish Ahmed Institute of Technology, Pitchanur Village, Coimba…",COIMBATORE,Self-Financing T3
"Jairupaa College of Engineering, Thottiapalayam, Kathankanni-Po, …",TIRUPPUR,Self-Financing T3
"Pollachi Institute of Engineering and Technology, 107/1, Poosarip…",COIMBATORE,Self-Financing T3
"Arulmurugan College of Engineering, Karvazhi Road, Thennilai, Ara…",KARUR,Self-Financing T3
"V.S.B. College of Engineering Technical Campus , S.F. No.91/2A,91…",COIMBATORE,Self-Financing T3
"Suguna College of Engineering, Nehru Nagar (West), Kalapatti Road…",COIMBATORE,Self-Financing T3
"SASI CREATIVE SCHOOL OF ARCHITECTURE, 293/2B, ROJA RAJA GARDEN, P…",COIMBATORE,Self-Financing T3
"Arjun College of Technology, 310/1B, Chettiyakkapalayam, Kinathuk…",COIMBATORE,Self-Financing T3
Government College of Engineering Chettikkarai Post Dharmapuri Di…,DHARMAPURI,Government
"PSG Institute of Technology and Applied Research , Avinashi Road,…",COIMBATORE,Self-Financing T1
